Corporation Name,Email,Address,Business Turnover (M$),Duration of Business (Years),Past Loan Repayment Rate (%),Loan Default Count,Credit Rating,Previous Loan Interest Rate (%),Loan Tenure Requested (Years),Past Loan ROI (%),Loan Amount Requested (M$),Associated Project ROI (%),Loan Approval Label
Murphy-Moore,james92@crawford.com,"935 Wendy Groves, Jamesshire, IN 28491",33.84,7,96.41,1,806,9.54,6,17.4,8.36,20.0,Approved
"Todd, Lyons and Roberts",blackmason@yahoo.com,"2663 Karen Radial Suite 592, New Ronaldstad, MI 64471",44.17,3,83.52,3,650,8.99,6,14.02,9.61,20.0,Not Approved
Bautista-Woods,ivaughn@hotmail.com,"995 Francisco Extensions Suite 280, Smithton, IL 58316",39.53,14,76.64,3,650,3.46,18,15.13,5.98,11.91,Not Approved
"Bell, Russell and Gray",hullwilliam@hotmail.com,"0203 Bender Prairie, Johnmouth, IN 60011",45.82,8,82.92,0,833,12.66,8,24.58,5.75,20.0,Approved
Wilson LLC,john99@yahoo.com,"47419 Hawkins Crossing, South Michelebury, MD 63319",30.73,5,91.07,0,737,10.95,17,17.13,4.54,15.79,Not Approved
"Garner, Jackson and Wilson",grayanna@mata.org,"871 Stacy Gardens, Douglasborough, NJ 87276",27.73,5,87.17,1,806,14.04,4,15.74,8.33,20.0,Approved
Hudson Ltd,irobertson@hotmail.com,"USNV Kline, FPO AE 73864",45.5,13,96.75,2,819,7.46,11,7.97,1.75,20.0,Not Approved
"Garner, Jackson and Wilson",grayanna@mata.org,"871 Stacy Gardens, Douglasborough, NJ 87276",27.78,9,80.29,1,842,14.04,3,21.83,7.15,20.0,Approved
Arnold Ltd,riversdebra@yahoo.com,"969 Alicia Cliffs Suite 995, Lake Briannaland, MA 39940",42.7,15,89.01,3,650,14.17,12,15.35,9.55,20.0,Not Approved
Gillespie-Gilmore,jonathan77@yahoo.com,"PSC 5815, Box 1980, APO AP 39933",20.35,5,86.71,1,812,4.6,6,16.98,5.82,20.0,Approved
Nash PLC,mitchell18@walker.com,"8007 Allen Dam Suite 345, North Monica, HI 86294",48.59,9,90.22,1,839,9.49,6,23.6,7.41,20.0,Approved
"Grimes, Smith and Davidson",matthewtaylor@gibson.net,"87956 Smith Union Apt. 776, Hernandezville, LA 86046",21.06,14,85.8,1,809,9.51,1,17.01,5.56,20.0,Approved
Olson PLC,xrivera@yahoo.com,"448 Bauer Falls Suite 948, Forbesville, MN 48378",38.65,17,92.65,0,816,3.8,9,19.93,6.67,20.0,Approved
Kim PLC,gary41@gmail.com,"9127 Smith Shore, Andrewstad, AL 53546",42.3,16,80.65,0,838,10.38,10,16.14,9.85,20.0,Approved
Madden-Johnson,johnwalker@yahoo.com,"7273 Mckenzie Road, West William, TN 29907",39.93,7,94.39,1,813,3.87,9,15.1,8.4,20.0,Approved
Robles Ltd,bhernandez@hotmail.com,"79767 Tyrone Coves, Waltersstad, ID 87157",44.27,18,84.67,0,810,11.7,4,23.77,4.63,20.0,Approved
"Drake, Davies and Young",warrenkimberly@yahoo.com,"4345 Angela Parkways, Bowmanmouth, MS 93071",40.26,11,88.69,0,823,6.17,2,22.05,2.67,20.0,Approved
Cruz PLC,bbell@gmail.com,"6389 Strong Lodge Suite 140, Morganborough, NV 62440",22.4,14,84.24,0,847,12.39,10,20.88,4.49,20.0,Approved
Thornton-Ibarra,leecody@yu.com,"4268 Ryan Squares Apt. 687, South Juanmouth, WA 24475",29.21,15,83.34,1,826,14.06,18,9.47,5.43,12.86,Not Approved
Hood-Meyers,phernandez@keller.net,"712 Williamson Freeway Apt. 153, South Stephen, MD 70549",43.15,13,96.85,2,777,5.07,14,24.56,1.79,7.79,Not Approved
"Bauer, Campbell and Peterson",bsnow@mercado.biz,"54124 Steven Mountains Apt. 604, Leonardfurt, OK 31070",6.58,14,74.16,1,650,9.54,12,9.86,4.64,18.07,Not Approved
Miller-Edwards,phull@morgan.com,"2798 Stephen Hills Suite 748, Guerramouth, SC 05837",30.02,16,88.25,1,695,9.11,6,18.6,2.72,6.07,Not Approved
Bailey Group,shortmartha@yahoo.com,"1189 Marsh Pine Apt. 927, East Heather, ID 27419",36.92,2,67.38,0,650,7.15,6,19.65,9.08,20.0,Not Approved
"Williams, Lambert and Riggs",loribarker@yahoo.com,"19555 Julie Cape Suite 445, South Randy, WI 25389",41.67,19,95.12,1,814,12.42,4,20.93,3.65,20.0,Approved
"Ortiz, Perez and Thornton",littlejordan@gmail.com,"2506 Jill Stravenue Suite 755, New Curtisburgh, VT 95547",20.69,7,94.07,1,847,10.83,6,22.56,3.1,20.0,Approved
Mack Inc,ksmith@gmail.com,"68996 Sean Wall, Browntown, NE 84175",20.68,5,80.22,0,837,4.83,9,24.21,7.53,20.0,Approved
Arnold Ltd,riversdebra@yahoo.com,"969 Alicia Cliffs Suite 995, Lake Briannaland, MA 39940",42.7,15,89.01,3,650,14.17,12,15.35,9.55,20.0,Not Approved
Hernandez LLC,rebecca15@graham.biz,"295 Sanders Ridge, East Chadfort, MO 28751",32.99,13,99.2,1,815,4.24,5,19.33,7.7,20.0,Approved
"Jimenez, Vazquez and Thompson",nmitchell@hotmail.com,"2005 Rhonda Island Apt. 769, Brandyburgh, MO 59508",48.72,17,90.2,1,822,13.85,4,21.31,2.2,20.0,Approved
Williams-Bennett,zadams@gmail.com,"263 Ortiz Underpass Apt. 685, Florestown, ND 57813",44.56,9,96.48,1,846,8.72,6,22.23,2.93,20.0,Approved
Tucker LLC,mahoneykimberly@young.net,"Unit 8478 Box 8080, DPO AE 59345",26.25,10,91.52,0,809,9.64,8,22.19,9.25,20.0,Approved
"Figueroa, Smith and Singleton",alee@hayes.com,"145 Kathleen Brooks, Riddleview, CA 60090",20.93,1,80.7,2,650,8.68,8,10.26,2.31,15.14,Not Approved
Robles Ltd,bhernandez@hotmail.com,"79767 Tyrone Coves, Waltersstad, ID 87157",43.18,15,85.61,0,826,11.7,2,17.03,6.34,20.0,Approved
Rice and Sons,amanda27@donovan-soto.com,"757 Bean Squares, Wendyborough, TX 64089",36.42,7,85.22,1,836,14.12,3,18.91,4.65,20.0,Approved
Clark LLC,idean@norris-duncan.com,"52496 Dean Keys Apt. 550, South Gregorychester, KY 11019",9.9,15,72.61,1,793,7.71,16,13.48,6.42,20.0,Not Approved
Johnson-Carr,hardyandrew@reese.org,"653 Kathryn Trace, Jenniferfort, MN 32955",25.68,12,94.9,1,833,8.64,8,20.35,1.71,20.0,Approved
Harrison-Davidson,simpsonlindsay@gmail.com,"Unit 2227 Box 8644, DPO AP 20716",6.69,14,65.55,3,831,8.29,14,7.16,2.34,7.01,Not Approved
Holmes-Herrera,daniel14@yahoo.com,"PSC 0869, Box 2067, APO AE 09175",47.35,18,69.25,1,650,4.57,14,23.73,9.55,19.34,Not Approved
Navarro-Barnett,teresa34@hernandez.com,"650 Adrian Mountains, West Joshuaborough, IA 84008",20.95,5,91.93,1,814,3.35,2,24.03,8.76,20.0,Approved
"Walker, Lee and Taylor",baileykramer@boyer-roberts.com,"98316 Waller Radial, New Steven, ME 96897",36.48,18,84.96,0,841,14.86,2,15.79,1.32,20.0,Approved
Henry-Mitchell,thompsondarin@cole.biz,"2576 Jeffrey Unions, South Ian, ID 92277",32.43,1,77.99,2,792,11.91,6,21.64,9.31,19.89,Not Approved
Jones-Pierce,kdiaz@turner.com,"894 Reed Hollow Suite 708, Laurachester, OK 17627",23.82,14,90.33,0,840,4.13,9,17.61,3.13,20.0,Approved
Pope-Francis,jlawrence@carroll-williams.org,"215 Lawrence Cliff Apt. 424, Candacestad, ID 13182",37.26,14,80.71,3,650,7.1,6,17.52,8.15,20.0,Not Approved
"Guerrero, House and Jones",dale30@yahoo.com,"143 Michael Manor, Lake John, MA 99106",27.14,17,97.06,0,844,13.39,3,18.75,4.31,20.0,Approved
"Chapman, Crawford and Kelley",ashley60@turner-phillips.org,"8281 Jill Canyon, Curtismouth, AK 63164",40.94,16,89.96,3,765,14.23,18,20.34,9.0,20.0,Not Approved
"Bell, Russell and Gray",hullwilliam@hotmail.com,"0203 Bender Prairie, Johnmouth, IN 60011",43.51,7,96.33,1,825,12.66,10,16.66,4.3,20.0,Approved
Edwards Inc,ustrickland@kelley-serrano.com,"3768 Ibarra Trace Apt. 656, Johnville, KS 30249",39.88,14,98.85,1,650,7.04,2,14.49,2.15,18.1,Not Approved
Singleton-Waller,rdominguez@hotmail.com,"USNV Sullivan, FPO AP 78769",47.35,9,94.65,1,810,5.71,5,21.27,9.6,20.0,Approved
Benjamin-Nelson,melissa37@dunn-allison.biz,"728 Cynthia Point, Lake Michael, VT 54822",34.15,12,82.28,1,805,7.65,4,17.41,7.37,20.0,Approved
Harris Ltd,jeanette31@anderson.biz,"017 Mark Point Suite 274, Katherineside, CT 73467",47.89,11,95.36,3,805,3.92,7,12.23,5.91,15.54,Not Approved
Wright and Sons,wgonzalez@salinas.org,"166 Steven Fords Apt. 166, West Hayleyview, VT 16478",45.73,19,58.78,2,733,8.9,10,5.89,2.52,13.28,Not Approved
Robinson Inc,breanna93@yahoo.com,"453 Mary Mills Apt. 562, East Debra, AK 06251",41.04,6,91.88,0,803,11.16,2,23.41,7.3,20.0,Approved
Anderson-Harris,james00@gmail.com,"59882 Roberts Harbors, Williamsonville, IA 60380",21.49,14,81.47,0,818,6.69,5,16.85,4.22,20.0,Approved
Lopez PLC,falvarado@gmail.com,"678 Rodriguez Corner, Michaelbury, MA 52409",36.91,11,93.78,1,825,4.35,2,15.31,9.79,20.0,Approved
Irwin and Sons,rboyle@hotmail.com,"262 Lindsey Estates, Ronaldfort, MA 02840",47.72,15,85.87,0,823,9.48,4,22.97,5.35,20.0,Approved
Turner-Mckenzie,keyderek@yahoo.com,"534 Hernandez Valleys Apt. 991, West Anthony, FL 75072",25.13,6,96.66,0,824,11.6,7,15.42,8.64,20.0,Approved
"Andrews, Parks and James",ivaughan@hotmail.com,"5691 Michael Mountain, Maryhaven, NC 31630",33.0,6,69.09,0,650,14.69,9,10.68,4.88,8.45,Not Approved
Burnett-Lowery,michael75@hotmail.com,"0423 Mcknight Lakes, New Derekton, MI 21207",24.25,16,86.9,1,793,14.5,7,6.5,2.78,7.29,Not Approved
Rice and Sons,amanda27@donovan-soto.com,"757 Bean Squares, Wendyborough, TX 64089",45.29,9,81.69,1,827,14.12,2,22.28,7.72,20.0,Approved
Harrison PLC,pstone@gmail.com,"3013 Warner Canyon Suite 872, South Laura, IN 52390",30.54,10,88.25,0,816,13.67,10,22.93,4.99,20.0,Approved
Gillespie-Gilmore,jonathan77@yahoo.com,"PSC 5815, Box 1980, APO AP 39933",22.09,13,99.09,0,802,4.6,6,21.64,2.88,20.0,Approved
Mason Inc,xramirez@beck-stewart.org,"PSC 4256, Box 3197, APO AA 85640",14.9,13,52.6,3,701,12.88,17,20.2,9.61,11.41,Not Approved
Owens PLC,josephjulie@hotmail.com,"3742 Jones Isle Suite 841, Scottmouth, ME 87628",42.55,8,92.3,1,844,3.42,10,21.35,6.82,20.0,Approved
"Hale, Ryan and Matthews",evelyn42@hotmail.com,"92651 Mccarthy Port, Port Jasonchester, SD 57084",46.24,19,92.42,0,819,6.23,6,24.67,8.37,20.0,Approved
"Clark, Arroyo and Huff",juliagriffin@hotmail.com,"97901 Sandoval Trail Suite 602, Glennfurt, UT 03417",47.46,11,83.99,3,706,6.03,10,6.41,7.54,16.65,Not Approved
Watson-Stephens,tammy15@collins.org,"391 Stewart Fords Apt. 920, East Charlesburgh, AK 42386",20.73,16,84.16,1,826,9.87,9,22.52,3.54,20.0,Approved
Chapman PLC,davidvargas@gmail.com,"8512 Thomas Knoll Apt. 635, West David, KY 60255",26.97,14,87.55,0,801,10.67,5,21.84,6.08,20.0,Approved
"Drake, Davies and Young",warrenkimberly@yahoo.com,"4345 Angela Parkways, Bowmanmouth, MS 93071",40.26,11,88.69,0,823,6.17,2,22.05,2.67,20.0,Approved
"Cochran, Wilkins and Sanchez",frivera@kelley.net,"913 Brewer Trail Suite 742, North Annettechester, MO 21940",26.57,8,90.91,0,808,12.42,1,19.13,3.73,20.0,Approved
Johnson-Carr,hardyandrew@reese.org,"653 Kathryn Trace, Jenniferfort, MN 32955",25.68,12,94.9,1,833,8.64,8,20.35,1.71,20.0,Approved
Adams-Lamb,peter60@gmail.com,"398 Young Turnpike Apt. 664, Christopherbury, CT 84396",38.13,6,82.22,0,833,12.67,8,19.57,2.23,20.0,Approved
Murphy-Moore,james92@crawford.com,"935 Wendy Groves, Jamesshire, IN 28491",33.84,7,96.41,1,806,9.54,6,17.4,8.36,20.0,Approved
Beck-Martinez,yramirez@yahoo.com,"72057 Christopher Street Apt. 649, Jamiefurt, NJ 46546",31.5,13,96.58,1,839,9.75,10,19.51,8.75,20.0,Approved
"Pierce, Martinez and Scott",jasonpreston@yahoo.com,"03286 John Branch, East Mason, GA 87837",22.39,8,91.52,1,820,13.52,7,19.06,6.69,20.0,Approved
Rogers-Clark,stephanieburns@morgan.com,"19230 Diana Locks, Robertside, IN 56080",32.1,9,94.84,0,832,14.43,9,15.79,3.91,20.0,Approved
Bonilla and Sons,dtaylor@odom-thomas.com,"599 Richard Meadows, Bergburgh, OR 53713",22.25,5,82.42,0,824,13.61,5,21.6,3.13,20.0,Approved
"Reyes, Nguyen and Atkins",karinelson@hernandez.com,"4236 Brian Villages Apt. 984, Weavertown, CA 93061",44.91,14,95.08,1,825,14.32,9,22.53,6.19,20.0,Approved
Wright-Robbins,ileon@yahoo.com,"1658 Linda Meadow Suite 732, North Tracybury, WY 29288",21.06,10,86.5,0,650,3.52,13,17.76,6.05,14.21,Not Approved
Johnson Group,sheryl33@coleman.com,"914 Price Inlet, Gregorybury, SD 20318",33.19,18,90.81,0,840,6.83,2,15.35,7.43,20.0,Approved
Williams Inc,newmankeith@edwards.net,"7497 David Trail, Lake Brianview, NC 96769",6.04,7,79.1,1,755,5.74,4,20.35,8.99,20.0,Not Approved
Williams-Kelly,ashley76@gmail.com,"12079 Ramirez Island Apt. 394, Adamville, WV 64595",29.38,15,50.46,0,752,13.92,5,8.51,1.11,10.59,Not Approved
Madden-Johnson,johnwalker@yahoo.com,"7273 Mckenzie Road, West William, TN 29907",29.34,15,97.19,1,821,3.87,4,24.14,8.62,20.0,Approved
Williams-Taylor,donaldjohnson@gmail.com,"410 Griffin Mews Suite 277, Sanchezton, IA 06622",41.59,2,82.28,3,650,9.76,18,7.9,8.18,20.0,Not Approved
"Jenkins, Hayes and Johnson",frankdonovan@sherman.com,"861 Travis Vista, Wrightfurt, FL 16619",45.8,11,93.64,0,832,5.51,10,16.31,2.92,20.0,Approved
"Bell, Russell and Gray",hullwilliam@hotmail.com,"0203 Bender Prairie, Johnmouth, IN 60011",30.31,7,96.54,0,806,12.66,10,21.6,7.01,20.0,Approved
Foley-Phillips,martindiana@gmail.com,"33862 Yang Shore, North Kristi, KS 23755",35.63,5,89.99,0,817,10.4,10,23.71,1.26,20.0,Approved
Lee-Davis,arthursantos@johnson.net,"99878 Dawn Manor, East Christinemouth, WA 94841",36.97,8,90.66,1,846,6.99,2,21.31,4.06,20.0,Approved
Jones-Pierce,kdiaz@turner.com,"894 Reed Hollow Suite 708, Laurachester, OK 17627",37.06,16,96.81,1,838,4.13,8,15.98,9.14,20.0,Approved
Washington-Blankenship,holmesmark@hotmail.com,"746 Tanya Mission, Leachfort, MT 01741",46.54,11,99.68,1,834,7.8,4,20.05,2.41,20.0,Approved
Thornton-Ibarra,leecody@yu.com,"4268 Ryan Squares Apt. 687, South Juanmouth, WA 24475",29.21,15,83.34,1,826,14.06,18,9.47,5.43,12.86,Not Approved
Erickson-Barnes,ogarza@gmail.com,"317 Becky Crossroad Suite 691, South Mariachester, IN 80498",37.55,8,87.38,1,840,12.48,10,18.28,3.34,20.0,Approved
Webb LLC,elizabeth39@smith.org,"503 Kyle Key, New Kevin, MN 89914",35.42,12,70.0,0,656,7.17,12,21.07,3.12,6.1,Not Approved
"Jones, Scott and Williams",wbradley@hotmail.com,"3781 Mandy Canyon, Christineton, MA 37274",43.79,15,91.39,0,800,14.68,3,24.38,8.16,20.0,Approved
"Martin, Rose and Mullins",yangjeremy@hotmail.com,"108 Brewer Rest Apt. 902, Yorkberg, NE 33841",36.3,16,66.67,0,739,3.13,8,21.31,1.13,20.0,Not Approved
"Wall, Moore and Steele",fisherjonathan@jordan-brown.net,"519 Virginia Harbors Apt. 892, South Jenniferborough, HI 16197",32.25,19,93.86,1,846,4.69,8,24.81,8.63,20.0,Approved
Dillon-Kennedy,amanda42@hotmail.com,"PSC 8514, Box 5837, APO AA 47261",14.3,3,57.53,3,747,8.55,3,13.39,9.07,17.33,Not Approved
Cook and Sons,xlogan@rangel.com,"412 Sims Pass, Vanessamouth, ID 58581",28.15,6,83.37,3,650,8.21,7,7.04,1.47,20.0,Not Approved
Daniels-Krueger,andrew20@yahoo.com,"9824 John Burg Apt. 827, Montgomerystad, RI 96017",14.73,18,78.6,3,650,5.02,6,9.4,6.12,15.03,Not Approved
"Ford, Scott and Garcia",luis12@lynn.org,"07755 Zamora Park Suite 384, Schwartzland, NJ 73016",46.97,9,97.58,1,810,4.51,2,16.25,7.31,20.0,Approved
Sanchez-Herrera,christopherkramer@gmail.com,"27321 Pitts Landing Suite 632, South Dustinmouth, WV 15045",15.61,7,80.6,2,650,14.86,19,14.02,5.89,17.66,Not Approved
"Wall, Moore and Steele",fisherjonathan@jordan-brown.net,"519 Virginia Harbors Apt. 892, South Jenniferborough, HI 16197",32.25,19,93.86,1,846,4.69,8,24.81,8.63,20.0,Approved
Bautista-Woods,ivaughn@hotmail.com,"995 Francisco Extensions Suite 280, Smithton, IL 58316",39.53,14,76.64,3,650,3.46,18,15.13,5.98,11.91,Not Approved
"Sullivan, Sosa and Giles",njones@hotmail.com,"0886 Jennifer Curve, Trevinoville, HI 20986",37.7,9,81.09,0,815,8.08,4,24.19,2.98,20.0,Approved
Gonzalez and Sons,thompsonbradley@jordan.biz,"6999 Randall Wells Apt. 631, Whiteburgh, RI 41562",32.56,18,86.35,1,819,4.57,1,17.98,1.79,20.0,Approved
Vega PLC,sbrown@lewis.com,"9967 Mckay Mall Suite 014, Deniseview, MN 85264",7.96,5,61.06,3,650,7.28,9,11.44,2.75,8.76,Not Approved
Warren-Liu,lori24@wright.net,"Unit 5313 Box 3319, DPO AA 67171",16.93,9,66.46,3,650,4.01,3,15.58,6.4,20.0,Not Approved
"Rice, Davis and Price",maryhutchinson@miller.com,"USNV Clark, FPO AP 48253",24.45,17,68.02,2,812,5.32,1,5.78,3.18,20.0,Not Approved
Chapman PLC,davidvargas@gmail.com,"8512 Thomas Knoll Apt. 635, West David, KY 60255",26.97,14,87.55,0,801,10.67,5,21.84,6.08,20.0,Approved
Gonzalez-Jones,christineaustin@gmail.com,"100 David Ridges, Pamelaburgh, TN 65640",36.99,5,97.47,1,842,11.02,4,22.33,6.46,20.0,Approved
Johnson Group,sheryl33@coleman.com,"914 Price Inlet, Gregorybury, SD 20318",33.19,18,90.81,0,840,6.83,2,15.35,7.43,20.0,Approved
Bautista-Valentine,qgreen@yahoo.com,"4695 Spencer Gardens, Lake Noahland, CT 96463",38.44,6,86.5,1,841,5.04,5,17.57,1.53,20.0,Approved
"Williams, Brown and Gibson",timothyhorton@hotmail.com,"53052 Phillip Passage Suite 274, Lake Chloeland, NV 01837",23.09,1,56.02,2,705,11.09,16,8.48,2.45,14.26,Not Approved
Cooper-Myers,beckyphillips@hotmail.com,"711 Aaron Causeway Apt. 679, New Cameronport, NV 78721",42.83,19,92.7,0,800,7.23,9,17.35,4.84,20.0,Approved
Larson Group,caroldiaz@gmail.com,"PSC 8430, Box 0147, APO AA 26892",36.75,8,77.93,0,675,7.87,17,6.33,7.29,20.0,Not Approved
Butler Ltd,jessicafoster@jacobs.com,"8921 Hart Stream, Howardville, SD 64990",36.74,8,97.15,0,807,9.76,5,23.08,2.77,20.0,Approved
Davis Group,hrichmond@hotmail.com,"5204 Laura Rapids, Mooreborough, VT 84796",43.26,4,63.25,3,650,7.16,6,18.7,5.96,16.42,Not Approved
Clark LLC,idean@norris-duncan.com,"52496 Dean Keys Apt. 550, South Gregorychester, KY 11019",9.9,15,72.61,1,793,7.71,16,13.48,6.42,20.0,Not Approved
"Lee, Dunn and Webb",kimberly88@yahoo.com,"321 Riggs Shore Suite 068, Hooverburgh, LA 48253",37.07,14,87.14,0,837,12.53,8,23.0,1.74,20.0,Approved
Odom Group,milesjulia@jackson.biz,"36317 Brandon Prairie Apt. 662, Jasonburgh, WA 57576",23.07,14,85.71,1,839,10.5,4,23.4,1.29,20.0,Approved
Gillespie-Gilmore,jonathan77@yahoo.com,"PSC 5815, Box 1980, APO AP 39933",22.09,13,99.09,0,802,4.6,6,21.64,2.88,20.0,Approved
Sanchez-Chapman,matajeanette@henry-hendrix.com,"062 Kim Gateway Apt. 448, South Kennethside, RI 01676",30.14,16,81.09,1,830,14.57,1,16.4,6.0,20.0,Approved
Pearson Ltd,patricklyons@lee.com,"000 Morton Glen Apt. 443, Simpsonberg, FL 96299",38.55,1,68.74,3,778,12.35,9,16.39,7.51,20.0,Not Approved
Burnett-Lowery,michael75@hotmail.com,"0423 Mcknight Lakes, New Derekton, MI 21207",24.25,16,86.9,1,793,14.5,7,6.5,2.78,7.29,Not Approved
Ortiz-Harmon,andrewglenn@thompson.biz,"806 Pratt Extension, Gonzalezchester, LA 72614",49.21,9,88.97,1,800,10.27,8,23.52,9.41,20.0,Approved
Hull-Rogers,cynthiaspencer@hotmail.com,"709 Hernandez Oval, Ericfort, WY 06359",26.96,7,82.2,1,818,9.2,10,18.37,2.33,20.0,Approved
"Mckinney, Walker and Smith",laneamanda@wilkins.com,"6892 Jodi Isle Suite 398, North Thomasville, WI 82564",45.56,5,97.94,0,840,4.18,8,24.26,9.86,20.0,Approved
Fisher and Sons,hbuchanan@gmail.com,"62280 Steven Keys Apt. 940, West Ronald, GA 75710",49.66,9,89.17,0,837,10.91,3,19.25,1.82,20.0,Approved
Burnett-Lowery,michael75@hotmail.com,"0423 Mcknight Lakes, New Derekton, MI 21207",24.25,16,86.9,1,793,14.5,7,6.5,2.78,7.29,Not Approved
Torres-Case,sjohnson@gmail.com,"78750 Robert Orchard, Jenniferbury, ME 20258",35.11,6,88.11,1,848,9.63,1,22.33,1.52,20.0,Approved
"Rodriguez, Rios and Brown",wheelerjuan@mason-simmons.com,"Unit 8570 Box 1291, DPO AE 04884",41.92,6,90.88,1,805,12.58,1,19.54,6.03,20.0,Approved
Reyes-Bowers,jackiejacobs@hotmail.com,"72880 Mcmahon Point, Brownton, MN 16889",23.13,11,88.4,0,838,13.59,9,17.07,3.98,20.0,Approved
Navarro-Barnett,teresa34@hernandez.com,"650 Adrian Mountains, West Joshuaborough, IA 84008",41.92,9,91.32,0,838,3.35,10,18.46,5.66,20.0,Approved
"Sweeney, Santiago and Fitzgerald",dmiller@garcia.com,"07528 Lowery Coves, Jessicaville, AR 95503",41.84,6,92.53,1,822,9.71,3,23.04,1.57,20.0,Approved
"Dennis, Gibson and Williams",rodriguezmark@yahoo.com,"947 Robert Brook Suite 306, North Alexisshire, MT 43890",42.7,7,95.0,1,823,3.78,5,16.93,5.38,20.0,Approved
Wise-Bowen,hebertkevin@grimes.net,"197 Shawn Lake, Lake Dennischester, AR 21589",26.32,2,71.67,1,650,6.35,10,24.3,1.36,10.5,Not Approved
Brock-Zhang,edward20@walls.info,"5660 Ryan Way Suite 054, Arthurside, NJ 50445",34.5,8,90.06,1,806,10.42,6,18.24,2.51,20.0,Approved
Jones Group,fwalton@gmail.com,"87805 Miller Roads Suite 356, Graybury, TN 99138",45.23,12,94.62,1,818,14.27,5,17.23,7.74,20.0,Approved
Rasmussen Ltd,xharper@yahoo.com,"3767 Claudia Cape, Michaelton, WA 79394",36.73,9,86.05,2,650,7.2,9,22.41,9.07,11.14,Not Approved
Raymond LLC,colemansarah@hall.com,"034 Mckenzie Island Apt. 514, Port Katherinechester, GA 01389",35.89,17,84.39,1,834,5.13,8,15.47,5.76,20.0,Approved
Murphy-Moore,james92@crawford.com,"935 Wendy Groves, Jamesshire, IN 28491",42.39,8,86.09,1,828,9.54,10,22.22,6.93,20.0,Approved
Gomez-Noble,baileymichelle@gmail.com,"3337 Scott Circles, Brittanymouth, TX 23058",24.38,18,99.56,1,803,14.33,4,16.11,9.19,20.0,Approved
Owens PLC,josephjulie@hotmail.com,"3742 Jones Isle Suite 841, Scottmouth, ME 87628",49.77,11,87.74,1,800,3.42,5,21.24,4.65,20.0,Approved
Chase-Baker,stokesjulia@hutchinson.net,"540 Ryan Shores, Vincentland, HI 72043",28.45,11,82.09,1,825,12.01,4,23.84,7.72,20.0,Approved
"Drake, Davies and Young",warrenkimberly@yahoo.com,"4345 Angela Parkways, Bowmanmouth, MS 93071",31.35,7,80.62,1,835,6.17,8,20.64,3.48,20.0,Approved
"Jackson, Valencia and Gonzales",denise01@yahoo.com,"1104 Patel Pines, Drakeport, MN 83949",40.6,19,84.35,1,846,4.64,3,24.5,8.53,20.0,Approved
"West, Jacobs and Mcmahon",preynolds@ashley.net,"67132 Warren Highway, West Richardland, OR 75669",28.57,2,60.02,3,731,12.39,7,13.88,1.22,20.0,Not Approved
Hudson Ltd,irobertson@hotmail.com,"USNV Kline, FPO AE 73864",45.5,13,96.75,2,819,7.46,11,7.97,1.75,20.0,Not Approved
"Davis, Barton and Martinez",brownveronica@olson.org,"418 Parsons Ramp Suite 493, Nancyfort, OK 93235",20.21,19,96.53,0,809,11.38,2,22.72,5.77,20.0,Approved
"Clark, Arroyo and Huff",juliagriffin@hotmail.com,"97901 Sandoval Trail Suite 602, Glennfurt, UT 03417",47.46,11,83.99,3,706,6.03,10,6.41,7.54,16.65,Not Approved
Juarez-Farrell,stephenslarry@walker.com,"781 Roberts Station Apt. 423, Harrisonmouth, DE 02363",46.66,11,89.73,1,804,4.23,8,16.74,8.23,20.0,Approved
Gallegos-Harding,samuel53@hotmail.com,"450 Lewis Mission, Jacobtown, IN 19558",8.01,18,70.07,1,768,4.44,16,16.15,7.16,10.63,Not Approved
"Santiago, Bradley and Wright",lbennett@hotmail.com,"2530 Singh Junction, West Kimberly, IA 52209",39.64,12,99.54,0,800,13.13,7,24.4,7.54,20.0,Approved
"Adkins, Cohen and Berry",seanroy@gmail.com,"2980 Jeffrey Trail Suite 808, Mariashire, ID 93567",18.51,12,89.56,0,822,7.65,12,8.81,4.32,11.89,Not Approved
Cox-Hughes,averysharon@anderson-owens.com,"14397 Brown Falls, South Nancy, PA 65111",30.62,5,82.59,0,842,6.28,7,17.38,9.72,20.0,Approved
Smith-Hale,rkim@baker-montgomery.net,"869 Jill Circle, South Chad, SC 14881",32.9,11,91.11,1,803,3.91,9,21.75,6.68,20.0,Approved
Martinez-Perez,whood@gmail.com,"00353 Stewart Divide, Mooreside, TN 23332",41.63,16,88.92,0,650,4.87,13,19.42,5.15,12.93,Not Approved
Gomez Group,michael63@hotmail.com,"24660 Smith Estates Suite 771, Andreafurt, NV 85689",24.63,12,99.16,0,835,3.25,6,20.96,9.09,20.0,Approved
Thomas-Hooper,morenojessica@thompson-kim.com,"21158 Lauren Club Suite 248, New Juliechester, AR 87141",29.49,14,87.11,0,837,5.47,8,21.9,6.93,20.0,Approved
Gonzalez-Jones,christineaustin@gmail.com,"100 David Ridges, Pamelaburgh, TN 65640",45.53,8,88.83,0,840,11.02,10,15.42,7.64,20.0,Approved
"Andrews, Parks and James",ivaughan@hotmail.com,"5691 Michael Mountain, Maryhaven, NC 31630",33.0,6,69.09,0,650,14.69,9,10.68,4.88,8.45,Not Approved
